Russian	English	Category	Confidence	Sources	Issues	_reject_reason
аберрантный	aberrant goiter		needs_human_review	akzhigitov_2_5		tilde_artifact: 'аберрантный' → 'aberrant goiter'
абеталипопротеинемия, синдром Бессена-Корнцвейга			reference_only	baldwin_reference		empty_en_after_fix
автоматический	self-acting		needs_human_review	akzhigitov_2_5		tilde_artifact: 'автоматический' → 'self-acting'
аглютеновый	gluten-free		needs_human_review	akzhigitov_2_5		tilde_artifact: 'аглютеновый' → 'gluten-free'
адвентициальный	adventitious, adventive		needs_human_review	akzhigitov_2_5		tilde_artifact: 'адвентициальный' → 'adventitious, adventive'
актиноморфный	actinomorphic, actinomorphous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'актиноморфный' → 'actinomorphic, actinomorphous'
аллергизированный	allergen-challenged		needs_human_review	akzhigitov_2_5		tilde_artifact: 'аллергизированный' → 'allergen-challenged'
альбуминозный	albuminous periostitis		needs_human_review	akzhigitov_2_5		tilde_artifact: 'альбуминозный' → 'albuminous periostitis'
амидочёрный	amido black		needs_human_review	akzhigitov_2_5		tilde_artifact: 'амидочёрный' → 'amido black'
анизотропный	anisotropic, anisotropous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'анизотропный' → 'anisotropic, anisotropous'
антеторакальный	prethoracic esophagus		needs_human_review	akzhigitov_2_5		tilde_artifact: 'антеторакальный' → 'prethoracic esophagus'
антибиотикорезистентный	antibiotic-resistant		needs_human_review	akzhigitov_2_5		tilde_artifact: 'антибиотикорезистентный' → 'antibiotic-resistant'
антикариесный	caries inhibitory dentifrice		needs_human_review	akzhigitov_2_5		tilde_artifact: 'антикариесный' → 'caries inhibitory dentifrice'
антикариозный	anticariogenic, anticarious		needs_human_review	akzhigitov_2_5		tilde_artifact: 'антикариозный' → 'anticariogenic, anticarious'
антителоиндуцированный	antibody-induced capping		needs_human_review	akzhigitov_2_5		tilde_artifact: 'антителоиндуцированный' → 'antibody-induced capping'
антропогенный	anthropogenic, anthropogenous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'антропогенный' → 'anthropogenic, anthropogenous'
антропозоонозная инфекция, антропозооноз (инфекционные болезни)			reference_only	baldwin_reference		empty_en_after_fix
апирогенный	pyrogen-free		needs_human_review	akzhigitov_2_5		tilde_artifact: 'апирогенный' → 'pyrogen-free'
аподактильный	no-touch		needs_human_review	akzhigitov_2_5		tilde_artifact: 'аподактильный' → 'no-touch'
апофизарный	apophysary, apophyseal		needs_human_review	akzhigitov_2_5		tilde_artifact: 'апофизарный' → 'apophysary, apophyseal'
аппендикулярный	appendical, appendiceal		needs_human_review	akzhigitov_2_5		tilde_artifact: 'аппендикулярный' → 'appendical, appendiceal'
аппендикулярный	appendiceal abscess		needs_human_review	akzhigitov_2_5		tilde_artifact: 'аппендикулярный' → 'appendiceal abscess'
аритмогенный	arrhythmogenic, arrhythmological		needs_human_review	akzhigitov_2_5		tilde_artifact: 'аритмогенный' → 'arrhythmogenic, arrhythmological'
ассоциированный	association neurosensory		needs_human_review	akzhigitov_2_5		tilde_artifact: 'ассоциированный' → 'association neurosensory'
атетоидный	athetoid, athetosic		needs_human_review	akzhigitov_2_5		tilde_artifact: 'атетоидный' → 'athetoid, athetosic'
атриовентрикулярный	atrioventricular rhythm		needs_human_review	akzhigitov_2_5		tilde_artifact: 'атриовентрикулярный' → 'atrioventricular rhythm'
аурикулотемпоральный	auriculotemporal nerve syndrome		needs_human_review	akzhigitov_2_5		tilde_artifact: 'аурикулотемпоральный' → 'auriculotemporal nerve syndrome'
аутоиммунный	immune-mediated		needs_human_review	akzhigitov_2_5		tilde_artifact: 'аутоиммунный' → 'immune-mediated'
аутоиммунный	immune-mediated keratoconjunctivitis		needs_human_review	akzhigitov_2_5		tilde_artifact: 'аутоиммунный' → 'immune-mediated keratoconjunctivitis'
аутореактивный	autoresponsive allospecific cytoxic		needs_human_review	akzhigitov_2_5		tilde_artifact: 'аутореактивный' → 'autoresponsive allospecific cytoxic'
аутотрофный	self-nourishing		needs_human_review	akzhigitov_2_5		tilde_artifact: 'аутотрофный' → 'self-nourishing'
афферентный	centripetal acceleration		needs_human_review	akzhigitov_2_5		tilde_artifact: 'афферентный' → 'centripetal acceleration'
ахолический	acholic, acholous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'ахолический' → 'acholic, acholous'
аэробный	aerobian, aerobic		needs_human_review	akzhigitov_2_5		tilde_artifact: 'аэробный' → 'aerobian, aerobic'
аэрогенный	aerogenic, aerogenous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'аэрогенный' → 'aerogenic, aerogenous'
базальный	diaphragmatic pleioxeny		needs_human_review	akzhigitov_2_5		tilde_artifact: 'базальный' → 'diaphragmatic pleioxeny'
бактериогенный	bacteriogenic, bacteriogenous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'бактериогенный' → 'bacteriogenic, bacteriogenous'
бедренно-подколенный	femoropopliteal bypass		needs_human_review	akzhigitov_2_5		tilde_artifact: 'бедренно-подколенный' → 'femoropopliteal bypass'
безаварийный	trouble-free, troubleproof		needs_human_review	akzhigitov_2_5		tilde_artifact: 'безаварийный' → 'trouble-free, troubleproof'
безбелковый	protein-free		needs_human_review	akzhigitov_2_5		tilde_artifact: 'безбелковый' → 'protein-free'
безвредный	innocuous, innoxious		needs_human_review	akzhigitov_2_5		tilde_artifact: 'безвредный' → 'innocuous, innoxious'
бездомный	homeless person		needs_human_review	akzhigitov_2_5		tilde_artifact: 'бездомный' → 'homeless person'
безжелтушный	jaundice-free		needs_human_review	akzhigitov_2_5		tilde_artifact: 'безжелтушный' → 'jaundice-free'
безлихорадочный	fever-free		needs_human_review	akzhigitov_2_5		tilde_artifact: 'безлихорадочный' → 'fever-free'
безнадёжный	beyond praying		needs_human_review	akzhigitov_2_5		tilde_artifact: 'безнадёжный' → 'beyond praying'
безнадёжный	beyond recovery		needs_human_review	akzhigitov_2_5		tilde_artifact: 'безнадёжный' → 'beyond recovery'
безработный	unemployed person		needs_human_review	akzhigitov_2_5		tilde_artifact: 'безработный' → 'unemployed person'
безуглеводный	glycoprival, glycoprivous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'безуглеводный' → 'glycoprival, glycoprivous'
безъякорный	anchor-minus		needs_human_review	akzhigitov_2_5		tilde_artifact: 'безъякорный' → 'anchor-minus'
белок в моче, протеинурия			reference_only	baldwin_reference		empty_en_after_fix
бесклеточный	cell-free		needs_human_review	akzhigitov_2_5		tilde_artifact: 'бесклеточный' → 'cell-free'
беспородный	random breed		needs_human_review	akzhigitov_2_5		tilde_artifact: 'беспородный' → 'random breed'
бесструктурный	anhistic, anhistous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'бесструктурный' → 'anhistic, anhistous'
бета-адренергический	beta-adrenergic		needs_human_review	akzhigitov_2_5		tilde_artifact: 'бета-адренергический' → 'beta-adrenergic'
биполярный	bipolar neuron		needs_human_review	akzhigitov_2_5		tilde_artifact: 'биполярный' → 'bipolar neuron'
бластодермический	blastodermic vesicle		needs_human_review	akzhigitov_2_5		tilde_artifact: 'бластодермический' → 'blastodermic vesicle'
бледный	whey-faced		needs_human_review	akzhigitov_2_5		tilde_artifact: 'бледный' → 'whey-faced'
бледный	white-faced		needs_human_review	akzhigitov_2_5		tilde_artifact: 'бледный' → 'white-faced'
близкородственный	closely related		needs_human_review	akzhigitov_2_5		tilde_artifact: 'близкородственный' → 'closely related'
близорукий	half-sighted		needs_human_review	akzhigitov_2_5		tilde_artifact: 'близорукий' → 'half-sighted'
близорукий	mope-eyed		needs_human_review	akzhigitov_2_5		tilde_artifact: 'близорукий' → 'mope-eyed'
близорукий	narrow-sighted		needs_human_review	akzhigitov_2_5		tilde_artifact: 'близорукий' → 'narrow-sighted'
близорукий	short-sighted		needs_human_review	akzhigitov_2_5		tilde_artifact: 'близорукий' → 'short-sighted'
блюдцеобразный	saucer-shaped		needs_human_review	akzhigitov_2_5		tilde_artifact: 'блюдцеобразный' → 'saucer-shaped'
болезнетворный	morbiferous, morbific, morbigenous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'болезнетворный' → 'morbiferous, morbific, morbigenous'
больной	medical patient		reference_only	baldwin_reference		tilde_artifact: 'больной' → 'medical patient'
больной	broadly sensitized patient		needs_human_review	akzhigitov_2_5		tilde_artifact: 'больной' → 'broadly sensitized patient'
больной	constipated patient		needs_human_review	akzhigitov_2_5		tilde_artifact: 'больной' → 'constipated patient'
больной	contractual patient		needs_human_review	akzhigitov_2_5		tilde_artifact: 'больной' → 'contractual patient'
больной	day patient		needs_human_review	akzhigitov_2_5		tilde_artifact: 'больной' → 'day patient'
больной	dialysis patient		needs_human_review	akzhigitov_2_5		tilde_artifact: 'больной' → 'dialysis patient'
больной	incontinent patient		needs_human_review	akzhigitov_2_5		tilde_artifact: 'больной' → 'incontinent patient'
больной	patient on ventilator		needs_human_review	akzhigitov_2_5		tilde_artifact: 'больной' → 'patient on ventilator'
больной	paying long stay		needs_human_review	akzhigitov_2_5		tilde_artifact: 'больной' → 'paying long stay'
больной	reliable long stay		needs_human_review	akzhigitov_2_5		tilde_artifact: 'больной' → 'reliable long stay'
больной	right long stay		needs_human_review	akzhigitov_2_5		tilde_artifact: 'больной' → 'right long stay'
больной	terminally ill		needs_human_review	akzhigitov_2_5		tilde_artifact: 'больной' → 'terminally ill'
больной	unipolar terminally ill		needs_human_review	akzhigitov_2_5		tilde_artifact: 'больной' → 'unipolar terminally ill'
больной	unreliable terminally ill		needs_human_review	akzhigitov_2_5		tilde_artifact: 'больной' → 'unreliable terminally ill'
бородавчатый	vegetative endocarditis		needs_human_review	akzhigitov_2_5		tilde_artifact: 'бородавчатый' → 'vegetative endocarditis'
бради-тахикардитический	brady-tachycardiac syndrome		needs_human_review	akzhigitov_2_5		tilde_artifact: 'бради-тахикардитический' → 'brady-tachycardiac syndrome'
брадикардитический	heart rate-lowering		needs_human_review	akzhigitov_2_5		tilde_artifact: 'брадикардитический' → 'heart rate-lowering'
бранхиогенный	branchial, branchiogenic		needs_human_review	akzhigitov_2_5		tilde_artifact: 'бранхиогенный' → 'branchial, branchiogenic'
брахиоскелетогенитальный	brachioskeletogenital syndrome		needs_human_review	akzhigitov_2_5		tilde_artifact: 'брахиоскелетогенитальный' → 'brachioskeletogenital syndrome'
брахицефалический	brachycephalic skull		needs_human_review	akzhigitov_2_5		tilde_artifact: 'брахицефалический' → 'brachycephalic skull'
бугорково-фиссурный	intercuspation, intercusping		needs_human_review	akzhigitov_2_5		tilde_artifact: 'бугорково-фиссурный' → 'intercuspation, intercusping'
вазомоторный	vasomotor catarrh		needs_human_review	akzhigitov_2_5		tilde_artifact: 'вазомоторный' → 'vasomotor catarrh'
вазомоторный	vasomotor nerve		needs_human_review	akzhigitov_2_5		tilde_artifact: 'вазомоторный' → 'vasomotor nerve'
вакуумный	sub-atmospheric		needs_human_review	akzhigitov_2_5		tilde_artifact: 'вакуумный' → 'sub-atmospheric'
Вакциноассоциированный	Vaccine-associated paralytic poliomyelitis (VAPP)		reference_only	vaccine_pdf_WHO		tilde_artifact: 'Вакциноассоциированный' → 'Vaccine-associated paralytic poliomyelitis (VAPP)'
везикулёзный	mouse mite-transmitted rickettsialpox		needs_human_review	akzhigitov_2_5		tilde_artifact: 'везикулёзный' → 'mouse mite-transmitted rickettsialpox'
веретенообразный	spindle-shaped		needs_human_review	akzhigitov_2_5		tilde_artifact: 'веретенообразный' → 'spindle-shaped'
вертлужный	trochanterian, trochanteric		needs_human_review	akzhigitov_2_5		tilde_artifact: 'вертлужный' → 'trochanterian, trochanteric'
видоспецифический	species-specific		needs_human_review	akzhigitov_2_5		tilde_artifact: 'видоспецифический' → 'species-specific'
видоспецифический	strain specific		needs_human_review	akzhigitov_2_5		tilde_artifact: 'видоспецифический' → 'strain specific'
вирус-индуцированный	virus-challenged		needs_human_review	akzhigitov_2_5		tilde_artifact: 'вирус-индуцированный' → 'virus-challenged'
вирусная нагрузка			reference_only	baldwin_reference		empty_en_after_fix
височно-нижнечелюстной	temporomandibular prasad		needs_human_review	akzhigitov_2_5		tilde_artifact: 'височно-нижнечелюстной' → 'temporomandibular prasad'
височнозатылочный	temporo-occipital		needs_human_review	akzhigitov_2_5		tilde_artifact: 'височнозатылочный' → 'temporo-occipital'
влагостойкий	damp-proof		needs_human_review	akzhigitov_2_5		tilde_artifact: 'влагостойкий' → 'damp-proof'
внебольничный	community-acquired		needs_human_review	akzhigitov_2_5		tilde_artifact: 'внебольничный' → 'community-acquired'
внебольничный	out-of-hospital		needs_human_review	akzhigitov_2_5		tilde_artifact: 'внебольничный' → 'out-of-hospital'
внематочная беременность			reference_only	baldwin_reference		empty_en_after_fix
внесердечный	exocardiac, exocardial		needs_human_review	akzhigitov_2_5		tilde_artifact: 'внесердечный' → 'exocardiac, exocardial'
внеядерный	extra-core		needs_human_review	akzhigitov_2_5		tilde_artifact: 'внеядерный' → 'extra-core'
внутренний отит			reference_only	baldwin_reference		empty_en_after_fix
внутрибольничный	hospital-induced		needs_human_review	akzhigitov_2_5		tilde_artifact: 'внутрибольничный' → 'hospital-induced'
внутрикостный	intraosseous, intraosteal		needs_human_review	akzhigitov_2_5		tilde_artifact: 'внутрикостный' → 'intraosseous, intraosteal'
внутриличностный	intrapersonal conflict		needs_human_review	akzhigitov_2_5		tilde_artifact: 'внутриличностный' → 'intrapersonal conflict'
внутриполостной	intracavitary, intracelial		needs_human_review	akzhigitov_2_5		tilde_artifact: 'внутриполостной' → 'intracavitary, intracelial'
внутрисердечный	endocardial endocardial		needs_human_review	akzhigitov_2_5		tilde_artifact: 'внутрисердечный' → 'endocardial endocardial'
внутрисуставной	intra-articular artificial		needs_human_review	akzhigitov_2_5		tilde_artifact: 'внутрисуставной' → 'intra-articular artificial'
воронкообразный	funnel-shaped		needs_human_review	akzhigitov_2_5		tilde_artifact: 'воронкообразный' → 'funnel-shaped'
врачебный	iatric(al)		reference_only	baldwin_reference		tilde_artifact: 'врачебный' → 'iatric(al)'
врождённый	constitutional cause		needs_human_review	akzhigitov_2_5		tilde_artifact: 'врождённый' → 'constitutional cause'
вспыльчивый	easy on trigger		needs_human_review	akzhigitov_2_5		tilde_artifact: 'вспыльчивый' → 'easy on trigger'
вспыльчивый	hot-tempered		needs_human_review	akzhigitov_2_5		tilde_artifact: 'вспыльчивый' → 'hot-tempered'
вспыльчивый	prone to anger		needs_human_review	akzhigitov_2_5		tilde_artifact: 'вспыльчивый' → 'prone to anger'
вспыльчивый	quick-tempered		needs_human_review	akzhigitov_2_5		tilde_artifact: 'вспыльчивый' → 'quick-tempered'
вспыльчивый	short-tempered		needs_human_review	akzhigitov_2_5		tilde_artifact: 'вспыльчивый' → 'short-tempered'
второстепенный	subsidiary echo-guided bioptic		needs_human_review	akzhigitov_2_5		tilde_artifact: 'второстепенный' → 'subsidiary echo-guided bioptic'
вызванный	ventilator-associated, ventilator-induced		needs_human_review	akzhigitov_2_5		tilde_artifact: 'вызванный' → 'ventilator-associated, ventilator-induced'
выпавший	fallen out		needs_human_review	akzhigitov_2_5		tilde_artifact: 'выпавший' → 'fallen out'
высокоактивный	high-activity		needs_human_review	akzhigitov_2_5		tilde_artifact: 'высокоактивный' → 'high-activity'
высокоинтенсивный	high-intensity		needs_human_review	akzhigitov_2_5		tilde_artifact: 'высокоинтенсивный' → 'high-intensity'
высококалорийный	high-caloric		needs_human_review	akzhigitov_2_5		tilde_artifact: 'высококалорийный' → 'high-caloric'
высокопольный	high-field		needs_human_review	akzhigitov_2_5		tilde_artifact: 'высокопольный' → 'high-field'
высокотоксичный	high-toxic		needs_human_review	akzhigitov_2_5		tilde_artifact: 'высокотоксичный' → 'high-toxic'
высокочувствительный	high-strung		needs_human_review	akzhigitov_2_5		tilde_artifact: 'высокочувствительный' → 'high-strung'
вытеснительный	displacement chromatographic		needs_human_review	akzhigitov_2_5		tilde_artifact: 'вытеснительный' → 'displacement chromatographic'
газовый	respiratory acidosis		needs_human_review	akzhigitov_2_5		tilde_artifact: 'газовый' → 'respiratory acidosis'
газожидкостный	gas-liquid		needs_human_review	akzhigitov_2_5		tilde_artifact: 'газожидкостный' → 'gas-liquid'
галлюциногенный	mind-bending		needs_human_review	akzhigitov_2_5		tilde_artifact: 'галлюциногенный' → 'mind-bending'
ганглиозный	gangliac, ganglial		needs_human_review	akzhigitov_2_5		tilde_artifact: 'ганглиозный' → 'gangliac, ganglial'
гемолитико-уремический	hemolytic-uremic syndrome		needs_human_review	akzhigitov_2_5		tilde_artifact: 'гемолитико-уремический' → 'hemolytic-uremic syndrome'
гемолитический	hemocidal, hemoclastic		needs_human_review	akzhigitov_2_5		tilde_artifact: 'гемолитический' → 'hemocidal, hemoclastic'
гепатолиенальный	hepatolienal fibrosis		needs_human_review	akzhigitov_2_5		tilde_artifact: 'гепатолиенальный' → 'hepatolienal fibrosis'
герметический	pressureproof, pressure-tight		needs_human_review	akzhigitov_2_5		tilde_artifact: 'герметический' → 'pressureproof, pressure-tight'
герпетиформный	zosteriform, zosteroid		needs_human_review	akzhigitov_2_5		tilde_artifact: 'герпетиформный' → 'zosteriform, zosteroid'
гидрофильно-липофильный	hydrophile-lypophile balance		needs_human_review	akzhigitov_2_5		tilde_artifact: 'гидрофильно-липофильный' → 'hydrophile-lypophile balance'
гидрофобный	water-repellent		needs_human_review	akzhigitov_2_5		tilde_artifact: 'гидрофобный' → 'water-repellent'
гиперкалиемический	hyperkaliemic paroxysmal palsy		needs_human_review	akzhigitov_2_5		tilde_artifact: 'гиперкалиемический' → 'hyperkaliemic paroxysmal palsy'
гипертоничный	bladder hypercontractility		needs_human_review	akzhigitov_2_5		tilde_artifact: 'гипертоничный' → 'bladder hypercontractility'
гипоталамический	hypothalamic cerebral		needs_human_review	akzhigitov_2_5		tilde_artifact: 'гипоталамический' → 'hypothalamic cerebral'
гистолитический	tissue-dissolving		needs_human_review	akzhigitov_2_5		tilde_artifact: 'гистолитический' → 'tissue-dissolving'
главный	principial sign		needs_human_review	akzhigitov_2_5		tilde_artifact: 'главный' → 'principial sign'
глазной	optic(al)		reference_only	baldwin_reference		tilde_artifact: 'глазной' → 'optic(al)'
глазодвигательный	oculogyric seizure		needs_human_review	akzhigitov_2_5		tilde_artifact: 'глазодвигательный' → 'oculogyric seizure'
глазосердечный	oculocardiac inborn		needs_human_review	akzhigitov_2_5		tilde_artifact: 'глазосердечный' → 'oculocardiac inborn'
гликогенный	glycogen (et)ic		needs_human_review	akzhigitov_2_5		tilde_artifact: 'гликогенный' → 'glycogen (et)ic'
Глобальный	Global Advisory Committee on Vaccine Safety (GACVS)		reference_only	vaccine_pdf_WHO		tilde_artifact: 'Глобальный' → 'Global Advisory Committee on Vaccine Safety (GACVS)'
глотательный	deglutitive, degiutitory		needs_human_review	akzhigitov_2_5		tilde_artifact: 'глотательный' → 'deglutitive, degiutitory'
глубокий	deep fungal disease		needs_human_review	akzhigitov_2_5		tilde_artifact: 'глубокий' → 'deep fungal disease'
гноеродный	pus-producing		needs_human_review	akzhigitov_2_5		tilde_artifact: 'гноеродный' → 'pus-producing'
гной	purulence, purulency		needs_human_review	akzhigitov_2_5		tilde_artifact: 'гной' → 'purulence, purulency'
гомодетерминантный	symmetrical bifunctional hepatitis		needs_human_review	akzhigitov_2_5		tilde_artifact: 'гомодетерминантный' → 'symmetrical bifunctional hepatitis'
гомотопический	homotypic, homotypical		needs_human_review	akzhigitov_2_5		tilde_artifact: 'гомотопический' → 'homotypic, homotypical'
гонадотропный	gonadotrop(h)ic		needs_human_review	akzhigitov_2_5		tilde_artifact: 'гонадотропный' → 'gonadotrop(h)ic'
Государственный	State Sanitary and Epidemiological Surveillance (SSES/SanEpi)		reference_only	vaccine_pdf_WHO		tilde_artifact: 'Государственный' → 'State Sanitary and Epidemiological Surveillance (SSES/SanEpi)'
грамотрицательный	gram-negative		needs_human_review	akzhigitov_2_5		tilde_artifact: 'грамотрицательный' → 'gram-negative'
грамположительный	gram-positive		needs_human_review	akzhigitov_2_5		tilde_artifact: 'грамположительный' → 'gram-positive'
гриппоподобный	flu-like		needs_human_review	akzhigitov_2_5		tilde_artifact: 'гриппоподобный' → 'flu-like'
гроздевидный	aciniform, acinous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'гроздевидный' → 'aciniform, acinous'
дальнозоркий	long-sighted		needs_human_review	akzhigitov_2_5		tilde_artifact: 'дальнозоркий' → 'long-sighted'
двигательно-кинестетический	motor-kinesthetic analyzer1		needs_human_review	akzhigitov_2_5		tilde_artifact: 'двигательно-кинестетический' → 'motor-kinesthetic analyzer1'
двояковыпуклый	convexo-convex		needs_human_review	akzhigitov_2_5		tilde_artifact: 'двояковыпуклый' → 'convexo-convex'
двумерный	antigen-antibody crossed electrophoresis		needs_human_review	akzhigitov_2_5		tilde_artifact: 'двумерный' → 'antigen-antibody crossed electrophoresis'
двусмысленный	amphibolic, amphibolous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'двусмысленный' → 'amphibolic, amphibolous'
двухвершинный	ancipital, ancipitate, ancipitous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'двухвершинный' → 'ancipital, ancipitate, ancipitous'
двухкамерный	two-chambered		needs_human_review	akzhigitov_2_5		tilde_artifact: 'двухкамерный' → 'two-chambered'
двухмерный	two-dimensional		needs_human_review	akzhigitov_2_5		tilde_artifact: 'двухмерный' → 'two-dimensional'
двухпросветный	double-barreled		needs_human_review	akzhigitov_2_5		tilde_artifact: 'двухпросветный' → 'double-barreled'
двухслойный	bilaminar, bilaminate		needs_human_review	akzhigitov_2_5		tilde_artifact: 'двухслойный' → 'bilaminar, bilaminate'
двухстадийный	two-site enzyme immunoassay		needs_human_review	akzhigitov_2_5		tilde_artifact: 'двухстадийный' → 'two-site enzyme immunoassay'
двухступенчатый	two-stage		reference_only	baldwin_reference		tilde_artifact: 'двухступенчатый' → 'two-stage'
двухступенчатый	two-step		reference_only	baldwin_reference		tilde_artifact: 'двухступенчатый' → 'two-step'
