RU	EN	Category
24-hour urine test	суточный анализ мочи	test
a-fib	мерцательная аритмия	diagnosis
a1c test	анализ a1c	test
abdomen	брюшная полость	anatomy
abdomen	живот	anatomy
abdomen imaging	обследование брюшной полости	procedure
abdominal cramping	спазмы в животе	symptom
abdominal cramps	схватки в животе	symptom
abdominal distension	вздутие живота	symptom
abdominal pain	боль в животе	symptom
abdominal pain	боль в области живота	symptom
abdominal trauma	травма живота	symptom
abdominal ultrasound	узи брюшной полости	test
ablation	абляция	procedure
abnormal cells	атипичные клетки	symptom
abnormal heart rhythm	нарушение сердечного ритма	diagnosis
abnormal signs	необычные симптомы	symptom
acetaminophen	ацетаминофен	medication
acetaminophen	ацетоминофен	medication
ache	ломота	symptom
aching joints	боль в суставах	symptom
acquired immune deficiency syndrome	синдром приобретенного иммунодефицита	diagnosis
active infection	активная форма	diagnosis
active ingredients	активные ингредиенты	other_medical
active labor	активная фаза родов	procedure
active leg range of motion	активная амплитуда движений ног	procedure
active range of motion	активная амплитуда движений	procedure
acute bronchitis	острый бронхит	diagnosis
acute kidney failure	острая почечная недостаточность	diagnosis
advance directives	предварительные распоряжения	other_medical
aerobic exercises	аэробные упражнения	procedure
aerosol treatment	аэрозольная терапия	procedure
afterbirth	послед	anatomy
afterbirth pains	боли при выходе последа	symptom
afterbirth pains	схваткообразные боли в животе	symptom
aggressive behavior	агрессивное поведение	symptom
agitation	беспокойство	symptom
aids	спид	diagnosis
air bubbles	пузырьки воздуха	other_medical
air pollution	загрязнение воздуха	other_medical
air sacs	альвеолы	anatomy
air sacs	воздушные мешочки	anatomy
airway	дыхательные пути	anatomy
airway collapse	смыкание дыхательных путей	symptom
airway swelling	отек дыхательных путей	symptom
airways	воздушные пути	anatomy
airways	дыхательные пути	anatomy
albumin test	анализ на альбумин	test
alcohol	алкоголь	medication
alcohol pad	спиртовая салфетка	other_medical
alcohol-based hand sanitizer	дезинфицирующее средство для рук с содержанием спирта	medication
alcohol-based hand sanitizer	спиртовое дезинфицирующее средство	other_medical
allergic reaction	аллергическая реакция	symptom
allergies	аллергические реакции	symptom
allergies	аллергия	diagnosis
allergy	аллергия	diagnosis
allergy testing	аллергические пробы	test
alopecia	алопеция	symptom
alpha fetoprotein test	тест на альфа-фетопротеин	test
alveoli	альвеолы	anatomy
alzheimer's dementia	болезнь альцгеймера	diagnosis
alzheimer's disease	болезнь альцгеймера	diagnosis
amniocentesis	амниоцентез	procedure
amniotic cavity	амниотическая полость	anatomy
amniotic fluid	околоплодные воды	anatomy
amyloid plaques	амилоидные бляшки	other_medical
anemia	анемия	diagnosis
aneurysm clips	аневризматические клипсы	other_medical
angina	стенокардия	diagnosis
angiogram	ангиограмма	procedure
angiogram	ангиография	test
angioplasty	ангиопластика	procedure
animal bite	укус животного	diagnosis
ankle	голеностопный сустав	anatomy
ankle	лодыжка	anatomy
ankle circles	круговые движения лодыжками	procedure
ankle exercises	упражнения для лодыжек	procedure
ankle pumps	качающие движения голеностопного сустава	procedure
ankle stretch	вытягивание лодыжки	procedure
ankle swelling	отек лодыжек	symptom
anorexia	анорексия	diagnosis
anoxia	аноксия	diagnosis
antacids	антациды	medication
anthrax	сибирская язва	diagnosis
anthrax vaccine	вакцина против сибирской язвы	medication
anti-seizure medicine	противосудорожные препараты	medication
antibiotic	антибиотик	medication
antibiotic cream	крем с антимикробным действием	medication
antibiotic cream	мазь с антибиотиком	medication
antibiotic medicine	антибиотик	medication
antibiotic medicine	антибиотики	medication
antibiotic ointment	мазь с антимикробным действием	medication
antibiotics	антибиотики	medication
antibodies	антитела	other_medical
anticoagulant	антикоагулянты	medication
antidepressants	антидепрессанты	medication
antihistamine	антигистаминный препарат	medication
antiviral medicines	противовирусные препараты	medication
antiviral therapy	антивирусная терапия	procedure
anus	анус	anatomy
anus	задний проход	anatomy
anxiety	беспокойство	symptom
anxiety	тревога	diagnosis
anxiety	тревожность	symptom
aorta	аорта	anatomy
apd	апд	procedure
apnea	апноэ	symptom
appendectomy	аппендэктомия	procedure
appendix	аппендикс	anatomy
appetite changes	изменение аппетита	symptom
appetite suppressant	подавитель аппетита	other_medical
arch of foot	изгиб ступни	anatomy
areola	ареола	anatomy
arm injury	травма руки	diagnosis
arm soreness	боль в руке	symptom
armpit	подмышечная впадина	anatomy
artery is joined to a vein	артерия соединяется с веной	procedure
arthritis	артрит	diagnosis
artificial heart valve	искусственный клапан сердца	other_medical
artificial joint	искусственный сустав	other_medical
artificial kidney	искусственная почка	other_medical
asbestos	асбест	other_medical
aspart insulin	инсулин аспарт	medication
aspartame	аспартам	medication
aspirin	аспирин	medication
assistive devices	вспомогательные принадлежности	other_medical
asthma	астма	diagnosis
asthma attack	приступ астмы	symptom
asthma attacks	приступы астмы	diagnosis
asthma severity	степень тяжести астмы	diagnosis
asthma triggers	аллергены	other_medical
atrial fibrillation	фибрилляция предсердий	diagnosis
atrophic vaginitis	атрофический вагинит	diagnosis
aura	аура	symptom
automated peritoneal dialysis	автоматический перитонеальный диализ	procedure
autonomic neuropathy	вегетативная нейропатия	diagnosis
av fistula	артериовенозный свищ	procedure
axillary temperature	температура под мышкой	test
baby blues	послеродовый стресс	diagnosis
baby food	детское питание	other_medical
baby's heart rate	сердечный ритм плода	test
baby's heartbeat	сердцебиение плода	test
back	спина	anatomy
back injury	травма спины	diagnosis
back muscles	мышцы спины	anatomy
back pain	болит спина	symptom
back pain	боль в спине	symptom
back problems	проблемы со спиной	diagnosis
back strain	напряжение спины	symptom
backache	боль в спине	symptom
bacteria	бактерии	other_medical
bacterial infection	бактериальная инфекция	diagnosis
bacterial pneumonia	бактериальная пневмония	diagnosis
bacterial vaginosis	бактериальный вагиноз	diagnosis
bad dreams	ночные кошмары	symptom
bad taste in mouth	неприятный привкус во рту	symptom
balance loss	потеря равновесия	symptom
balance problems	проблемы с равновесием	symptom
ball of foot	передняя часть стопы	anatomy
ball of foot	подушечка стопы	anatomy
balloon	баллон	other_medical
balloon angioplasty	баллонная ангиопластика	procedure
band-aid	пластырь	other_medical
bandage	повязка	procedure
barium enema	бариевая клизма	test
barium mixture	бариевая смесь	medication
barium x-ray	рентген с барием	test
barium x-rays	рентген с барием	test
basal cell carcinoma	базально-клеточная карцинома	diagnosis
bat bite	укус летучей мыши	diagnosis
battery-powered wheelchair	инвалидное кресло на аккумуляторе	other_medical
behavior modification	изменение привычек	procedure
behavior problems	проблемы с поведением	symptom
benign tumors	доброкачественные опухоли	diagnosis
biofeedback	метод биологической обратной связи	procedure
biological emergency	биологическая катастрофа	other_medical
biophysical profile	биофизический профиль	test
biopsy	биопсия	procedure
biotherapy	биотерапия	procedure
birth control	противозачаточные средства	medication
birth control pills	противозачаточные таблетки	medication
birth defects	врожденные дефекты	diagnosis
bisacodyl	бисакодил	medication
biscodyl	бисакодил	medication
bitter taste	горький привкус	symptom
black cohosh	клопогон кистевидный	medication
bladder	мочевой пузырь	anatomy
bladder control	контроль работы мочевого пузыря	symptom
bladder infection	инфекция мочевого пузыря	diagnosis
bladder infection	инфекция мочеиспускательного канала	diagnosis
bladder retraining program	программа тренировки мочевого пузыря	procedure
bladder stones	камни в мочевом пузыре	diagnosis
bladder test	уродинамическое исследование	test
bleeding	кровотечение	symptom
bleeding	кровоточить	symptom
bleeding at the site	кровотечение на месте ввода	symptom
bleeding disorder	нарушение кровообращения	diagnosis
bleeding gums	кровотечение десен	symptom
bleeding problems	кровотечения	symptom
blindness	слепота	symptom
blister	волдырь	symptom
blisters	волдыри	symptom
bloated	вздутие	symptom
bloated	вздутие живота	symptom
bloating	вздутие живота	symptom
blockage	закупорка сосуда	diagnosis
blockage in blood vessels	закупорка кровеносных сосудов	diagnosis
blood cancer	рак крови	diagnosis
blood cells	кровяные клетки	anatomy
blood cholesterol	холестерин	other_medical
blood cholesterol level	уровень холестерина в крови	test
blood clot	тромб	other_medical
blood clot filter	кава-фильтр	other_medical
blood clots	сгустки крови	symptom
blood clots	тромбы	diagnosis
blood diseases	заболевания крови	diagnosis
blood flow	кровообращение	other_medical
blood flow	кровоток	other_medical
blood glucose	глюкоза в крови	test
blood in stool	кровь в стуле	symptom
blood in stool	следы крови в стуле	symptom
blood loss	потеря крови	symptom
blood pressure	давление	test
blood pressure	кровяное давление	test
blood pressure check	измерение давления	test
blood pressure check	проверка артериального давления	test
blood pressure cuff	манжета для измерения давления	other_medical
blood pressure cuff	манжета для измерения кровяного давления	procedure
blood pressure medicine	лекарство для снижения давления	medication
blood pressure medicine	лекарство от повышенного артериального давления	medication
blood pressure medicine	лекарство, нормализующее кровяное давление	medication
blood pressure medicines	лекарства от кровяного давления	medication
blood sample	анализ крови	test
blood sample	образец крови	procedure
blood sugar	сахар в крови	test
blood sugar	уровень сахара	test
blood sugar	уровень сахара в крови	test
blood sugar level	уровень сахара в крови	test
blood sugar levels	уровень сахара в крови	test
blood supplies	кровоток	anatomy
blood test	анализ крови	test
blood test for jaundice	анализ крови на желтуху	test
blood tests	анализ крови	test
blood tests	анализы крови	test
blood thinner	лекарства для разжижения крови	medication
blood thinner medicine	препарат, разжижающий кровь	medication
blood thinners	лекарства для разжижения крови	medication
blood thinners	препараты, разжижающие кровь	medication
blood transfusion	переливание крови	procedure
blood type	группа крови	test
blood urea nitrogen	азот в составе мочевины крови	test
blood vessel	кровеносный сосуд	anatomy
blood vessel disease	заболевание кровеносных сосудов	diagnosis
blood vessel disease	сосудистые заболевания	diagnosis
blood vessel swelling	расширение кровеносных сосудов	symptom
blood vessels	кровеносные сосуды	anatomy
blood vessels	сосуды	anatomy
blood-thinning medication	лекарства для разжижения крови	medication
bloody show	отхождение слизистой пробки	symptom
bloody urine	кровь в моче	symptom
blue or gray skin color	кожа синего или серого цвета	symptom
blueness around mouth	посинение вокруг рта	symptom
bluish-gray fingernails	посинение ногтей	symptom
bluish-gray spots	синевато-серые пятна	symptom
blurred vision	затуманенное зрение	symptom
blurred vision	помутнение зрения	symptom
blurred vision	размытое зрение	symptom
blurred vision	расплывчатое зрение	symptom
blurry vision	затуманенное зрение	symptom
blurry vision	размытое зрение	symptom
body aches	боль в теле	symptom
body aches	ломота в теле	symptom
body temperature	температура тела	test
boil	фурункул	symptom
boils	фурункулез	diagnosis
bone cancer	рак костей	diagnosis
bone cement	костный цемент	medication
bone densitometry test	остеоденситометрия	test
bone density	плотность костей	test
bone fracture	перелом	diagnosis
bone fracture	перелом кости	diagnosis
bone fracture	переломы костей	diagnosis
bone loss	потеря костной массы	symptom
bone marrow	костный мозг	anatomy
bone marrow biopsy	биопсия костного мозга	test
bone mineral density test	анализ минеральной плотности костной ткани	test
bone scan	сцинтиграфия	test
bone spurs	костные наросты	symptom
bones	кости	anatomy
booster seat	бустер	other_medical
bottle-feeding	искусственное вскармливание	procedure
bowel control	контроль работы кишечника	symptom
bowel disease	заболевание кишечника	diagnosis
bowel habits	работа кишечника	symptom
bowel movement	испражнение	symptom
bowel movement	опорожнение кишечника	symptom
bowel movement	стул	symptom
bowel movements	дефекация	other_medical
bowel movements	стул	symptom
bowel prep	подготовка кишечника	procedure
brachytherapy	брахитерапия	procedure
brain	мозг	anatomy
brain activity	активность мозга	test
brain bleeding	кровотечение в мозге	symptom
brain bruising	ушиб головного мозга	symptom
brain damage	повреждение мозга	symptom
brain death	смерть мозга	diagnosis
brain disorders	нарушения работы мозга	diagnosis
brain injury	травма головного мозга	diagnosis
brain injury	черепно-мозговая травма	diagnosis
brain swelling	отек головного мозга	symptom
brain tissue shrinkage	уменьшение мозговой ткани	symptom
brain tumors	опухоли мозга	diagnosis
brand name medicine	фирменный препарат	medication
braxton-hicks	схватки брэкстона-хикса	symptom
breast	грудь	anatomy
breast biopsy	биопсия молочной железы	procedure
breast cancer	рак груди	diagnosis
breast engorgement	застой молока	symptom
breast engorgement	нагрубание молочных желез	symptom
breast engorgement	прибывание молока	symptom
breast exam	обследование груди	procedure
breast exam	обследование молочных желез	procedure
breast implants	грудные имплантаты	other_medical
breast infection	инфекция в груди	diagnosis
breast infection	инфекция молочной железы	diagnosis
breast massage	массаж груди	procedure
breast milk	грудное молоко	medication
breast milk expression	сцеживание грудного молока	procedure
breast milk storage	хранение грудного молока	procedure
breast pump	молокоотсос	procedure
breast reconstruction	реконструктивная хирургия груди	procedure
breast swelling	набухание груди	symptom
breast tenderness	чувствительность груди	symptom
breast tissue	ткань груди	anatomy
breast tissue	ткань молочной железы	anatomy
breast tissue expander	тканевые расширители груди	other_medical
breast ultrasound	узи молочных желез	test
breastbone	грудина	anatomy
breastfeed	кормить грудью	procedure
breastfeed	кормить ребенка грудью	procedure
breastfeeding	грудное вскармливание	other_medical
breastfeeding	кормление	procedure
breastfeeding	кормление грудью	procedure
breastfeeding	прикладывание к груди	procedure
breastfeeding latch	прикладывание к груди	procedure
breastmilk	грудное молоко	other_medical
breastmilk	материнское молоко	other_medical
breasts	грудь	anatomy
breathing	дыхание	test
breathing difficulty	затрудненное дыхание	symptom
breathing difficulty	трудность дыхания	symptom
breathing exerciser	дыхательный тренажер	procedure
breathing exercises	дыхательная гимнастика	procedure
breathing exercises	дыхательные упражнения	procedure
breathing faster than normal	учащенное дыхание	symptom
breathing medicines	лекарства для органов дыхания	medication
breathing problems	затруднение дыхания	symptom
breathing problems	проблемы с дыханием	symptom
breathing rate	частота дыхания	test
breathing treatment	ингаляционное лечение	procedure
breathing trouble	проблемы с дыханием	symptom
breathing tube	дыхательная трубка	procedure
bridge	мостик	procedure
bridging	мостик	procedure
brisk walking	быстрая ходьба	other_medical
brittle bones	хрупкие кости	symptom
broken bone	перелом	diagnosis
broken bone	сломанная кость	diagnosis
broken bones	переломы	diagnosis
bronchi	бронхи	anatomy
bronchioles	бронхиолы	anatomy
bronchitis	бронхит	diagnosis
bronchoscopy	бронхоскопия	procedure
bronchus	бронхи	anatomy
brown urine	моча коричневого цвета	symptom
bruised	кровоподтеки	symptom
bruised	с кровоподтеками	symptom
bruised	синеть	symptom
bruised spots	синяки	symptom
bruising	кровоподтек	symptom
bruising	кровоподтеки	symptom
bruising	синяк	symptom
bruising	синяки	symptom
bulb syringe	аспиратор	procedure
bulimia	булимия	diagnosis
bulk laxative	слабительное, увеличивающее объем	medication
bun test	анализ bun	test
burning	жжение	symptom
burning pain	жжение	symptom
burning sensation	жжение	symptom
burning skin	ожоги кожи	symptom
burning when passing urine	жжение при мочеиспускании	symptom
burns	ожоги	diagnosis
burp	отрыгнуть	procedure
burp	срыгивание	procedure
burp baby	подождать отрыжки	procedure
burping	отрыжка	procedure
buttocks	ягодицы	anatomy
bypass surgery	операция шунтирования	procedure
caffeine	кофеин	medication
calcium	кальций	medication
calcium supplement	кальций	medication
calcium supplement	кальцийсодержащий препарат	medication
calcium supplements	препараты кальция	medication
callus	мозоль	symptom
cancer	рак	diagnosis
cancer cells	раковые клетки	anatomy
cancer in the blood	рак крови	diagnosis
cancer in the bone	рак костей	diagnosis
cancer screening	тестирование на рак	test
cancer treatment	лечение онкологических заболеваний	procedure
cancer treatment	лечение онкологического заболевания	procedure
cancer treatment	лечение рака	procedure
cancer-related fatigue	утомляемость, связанная с раком	symptom
canker sores	афтозный стоматит	symptom
capd	напд	procedure
carbon monoxide	угарный газ	other_medical
carbon monoxide detector	детектор угарного газа	other_medical
carbon monoxide poisoning	отравление угарным газом	diagnosis
carcinoma	карцинома	diagnosis
cardiac catheterization	коронарография	procedure
cardiac magnetic resonance imaging	магнитно-резонансная томография сердца	test
cardiac rehab program	курс реабилитации для больных с заболеваниями сердца	procedure
cardiac rehab program	программа реабилитации сердца	procedure
cardiac stress test	нагрузочный тест сердца	test
cardiac ultrasound	узи сердца	test
cardiopulmonary resuscitation	реанимация	procedure
cardioversion	кардиоверсия	procedure
cartilage	хрящ	anatomy
cartilage breakdown	разрушение хряща	symptom
cast	гипс	procedure
cast	гипсовая повязка	procedure
cat stretch	выгибание позвоночника	procedure
cataracts	катаракта	diagnosis
catheter	катетер	procedure
ccpd	нцпд	procedure
central catheter	центральный катетер	procedure
cephalexin	цефалексин	medication
cerebral hemorrhage	кровоизлияние в мозг	diagnosis
cerebral palsy	церебральный паралич	diagnosis
cerebrospinal fluid	спинномозговая жидкость	anatomy
cervical cancer	рак шейки матки	diagnosis
cervical cancer screening	скрининг на рак шейки матки	test
cervical changes	изменения шейки матки	symptom
cervical curve	шейный изгиб	anatomy
cervix	шейка матки	anatomy
cervix dilation	раскрытие шейки матки	symptom
cesarean birth	кесарево сечение	procedure
cesarean delivery	кесарево сечение	procedure
change in sleeping pattern	изменение характера сна	symptom
changes in behavior	изменение поведения	symptom
changes in bowel habits	изменения в работе кишечника	symptom
changes in taste and smell	изменения вкуса и запаха	symptom
cheek	щека	anatomy
cheek puff exercise	надувание щек	procedure
chemical emergency	химическая катастрофа	other_medical
chemical poisoning	химическое отравление	diagnosis
chemo	химия	procedure
chemotherapy	химиотерапия	procedure
chemotherapy medicines	химиотерапевтические препараты	medication
chest	грудная клетка	anatomy
chest bones	кости груди	anatomy
chest cold	простудное заболевание	diagnosis
chest compression	компрессия грудной клетки	procedure
chest congestion	заложенность в груди	symptom
chest pain	боль в груди	symptom
chest pressure	давление в груди	symptom
chest pressure	ощущение сдавливания в груди	symptom
chest pressure	сдавливание груди	symptom
chest pressure	чувство сдавливания в груди	symptom
chest surgery	операция на груди	procedure
chest tightness	сдавленность в грудной клетке	symptom
chest x-ray	рентген грудной клетки	test
chest x-ray	рентгеновский снимок грудной клетки	test
chest x-ray	рентгенография легких	test
chest x-ray	рентгенография органов грудной клетки	test
chest x-ray	флюорография	test
chest x-ray	флюорография грудной клетки	test
chewing problems	проблемы с жеванием	symptom
chg soap	мыло с хгг	medication
chickenpox	ветряная оспа	diagnosis
child safety seats	детские сиденья	other_medical
child's weight	вес ребенка	other_medical
children's tylenol	детский тайленол	medication
chills	озноб	symptom
chlorhexidine gluconate	хлоргексидин глюконат	medication
chlorhexidine gluconate	хлоргексидина биглюконат	medication
chlorhexidine gluconate	хлоргексидина глюконат	medication
choking	закупорка дыхательных путей	symptom
choking	поперхивание	symptom
choking	удушье	symptom
cholesterol	холестерин	other_medical
cholesterol test	анализ крови на холестерин	test
chorionic villus sampling	проба ворсинчатого хориона	procedure
chronic bronchitis	хронический бронхит	diagnosis
chronic kidney failure	хроническая почечная недостаточность	diagnosis
chronic obstructive pulmonary disease	хронические обструктивные болезни легких	diagnosis
ciprofloxacin	ципрофлоксацин	medication
circulation problems	проблемы с кровообращением	symptom
circumcised penis	обрезанный пенис	anatomy
circumcision	обрезание	procedure
citrucel	цитруцел	medication
clean catch	чистый сбор	procedure
clean catch urine sample	сбор мочи методом clean catch	test
clear liquid diet	диета прозрачных жидкостей	other_medical
clear liquids	прозрачные жидкости	other_medical
clonidine	клофелин	medication
cloudy urine	мутная моча	symptom
cluster headache	кластерная головная боль	diagnosis
coil	катушка	other_medical
cold	простуда	diagnosis
cold hands and feet	холодные руки и ноги	symptom
cold hands or feet	холод в руках или ногах	symptom
cold packs	охлаждающий пакет	procedure
cold sores	герпес	symptom
cold treatment	холодовое лечение	procedure
coldness	холод	symptom
colon	ободочная кишка	anatomy
colon	толстая кишка	anatomy
colon cancer	рак ободочной кишки	diagnosis
colon cancer	рак толстой кишки	diagnosis
colon cramping	кишечные спазмы	symptom
colon examination	обследование кишечника	procedure
colon inflammation	воспаление толстой кишки	symptom
colon lining	выстилка ободочной кишки	anatomy
colonoscopy	колоноскопия	procedure
color changes	изменение цвета	symptom
colorectal cancer	колоректальный рак	diagnosis
colostomy	осмотр прямой и ободочной кишки	procedure
colostrum	молозиво	anatomy
colposcope	кольпоскоп	procedure
coma	кома	diagnosis
comfort suck	сосать грудь для успокоения	procedure
computerized tomography scan	кт-сканирование	test
concentration problems	проблемы с вниманием	symptom
concussion	сотрясение	diagnosis
condoms	презервативы	other_medical
confused thoughts	помрачение сознания	symptom
confusion	дезориентация	symptom
confusion	помутнение сознания	symptom
confusion	растерянность	symptom
confusion	спутанность сознания	symptom
confusion	чувство замешательства	symptom
confusion about time and space	ориентацией во времени и пространстве	symptom
congestive heart failure	застойная сердечная недостаточность	diagnosis
constant pain	постоянная боль	symptom
constipation	запор	symptom
contagious	заразный	symptom
continuous ambulatory peritoneal dialysis	непрерывный амбулаторный перитонеальный диализ	procedure
continuous cough	непрекращающийся кашель	symptom
continuous cycling peritoneal dialysis	непрерывный циклический перитонеальный диализ	procedure
continuous positive airway pressure machine	прибор для поддержания постоянного положительного давления в дыхательных путях	procedure
contraction stress test	контрактильный стрессовый тест	test
contractions	схватки	symptom
contrast	контрастное вещество	medication
contrast medicine	контрастное вещество	medication
contusion	контузия	diagnosis
convulsions	конвульсии	symptom
convulsions	судороги	symptom
cool down	упражнения на расслабление	procedure
cool-mist humidifier	рассеивающий увлажнитель воздуха	other_medical
coordination issues	проблемы с координацией	symptom
coordination issues	проблемы с координацией движений	symptom
coordination problems	проблемы с координацией	symptom
