RU	EN	Category
protective clothing	защитная одежда	other_medical
protein	белок	other_medical
protein supplement	белковые добавки	medication
ptca	чрескожная транслюминальная коронарная ангиопластика	procedure
pulmonary function tests	функциональные тесты легких	test
pulse	пульс	test
puncture wound	колотая рана	diagnosis
pus	гной	symptom
pus drainage	гнойные выделения	symptom
quad screen	четверной тест	test
quad sets	упражнение на мышцы бедра	procedure
quarter squat	четверть приседа	procedure
quitting tobacco	отказ от табака	procedure
rabies	бешенство	diagnosis
radiation	облучение	procedure
radiation exposure	облучение	other_medical
radiation therapy	лучевая терапия	procedure
radiation therapy	радиотерапия	procedure
radioactive iodine	радиоактивный йод	medication
radioactive medicine	радиоактивное вещество	medication
radon gas	радон	other_medical
range of motion	амплитуда движения	procedure
range of motion	диапазон движения	procedure
range of motion exercises	упражнения на амплитуду движения	procedure
rapid and strong pulse	ускоренный и сильный пульс	symptom
rash	сыпь	symptom
ready to feed formula	готовая смесь	medication
rear-facing seat	кресло, обращенное против движения	other_medical
recovery room	послеоперационная палата	other_medical
rectal bleeding	кровотечение из прямой кишки	symptom
rectal exam	обследование прямой кишки	procedure
rectal pressure	ощущение ректального давления	symptom
rectal temperature	ректальная температура	test
rectal temperature	температура в заднем проходе	test
rectum	прямая кишка	anatomy
rectum pressure	давление в прямой кишке	symptom
red blood cells	красные кровяные клетки	anatomy
red blood cells	красные кровяные тельца	anatomy
red blood cells	эритроциты	anatomy
red marks	красные пятна	symptom
red patches	участки покраснения кожи	symptom
red skin	покраснение кожи	symptom
redness	краснота	symptom
redness	покраснение	symptom
redness and swelling	покраснение или отек	symptom
redness around joint	покраснение кожи около сустава	symptom
redness at incision	покраснение в области шва	symptom
registered nurse	дипломированный специалист	other_medical
rehabilitation therapy	реабилитационная терапия	procedure
renal failure	почечная недостаточность	diagnosis
rescue breathing	искусственное дыхание	procedure
respiratory distress	трудно дышать	symptom
respiratory infection	респираторная инфекция	diagnosis
restful sleep	спокойный сон	symptom
restless leg syndrome	синдром беспокойных ног	diagnosis
restlessness	беспокойство	symptom
retina	сетчатка	anatomy
retinal blood vessels	кровеносные сосуды сетчатки	anatomy
retinal blood vessels	сосуды сетчатки	anatomy
retinal test	исследование сетчатки	test
retinopathy	ретинопатия	diagnosis
reye's syndrome	синдром рея	diagnosis
rh factor	резус-фактор	test
rheumatoid arthritis	ревматоидный артрит	diagnosis
ribs	ребра	anatomy
right atrium	правое предсердие	anatomy
ringing in the ear	звон в ухе	symptom
rooting reflex	корневой рефлекс	other_medical
rotator cuff	мышцы-вращатели плеча	anatomy
rotator cuff injury	травма мышц-вращателей плеча	diagnosis
rotavirus	ротавирус	diagnosis
rubber stopper	резиновая пробка	other_medical
rubella	краснуха	diagnosis
rubella antibodies	антитела к краснухе	test
runny nose	насморк	symptom
rupture of membranes	разрыв околоплодных оболочек	symptom
saccharin	сахарин	medication
sacrum	крестец	anatomy
sadness	грусть	symptom
saliva reduction	уменьшение слюноотделения	symptom
salivary glands	слюнные железы	anatomy
salt substitute	заменитель соли	medication
sarcoma	саркома	diagnosis
saturated fats	насыщенные жиры	other_medical
scalp	кожа головы	anatomy
scalp sores	язвы на коже головы	symptom
scans	сканирование	test
scleroderma	склеродермия	diagnosis
seasonal flu	сезонный грипп	diagnosis
seasonal flu vaccine	вакцина против сезонного гриппа	medication
second trimester	второй триместр	other_medical
secondhand smoke	пассивное курение	other_medical
sedative	успокоительное	medication
sedative	успокоительное средство	medication
seizure	припадок	symptom
seizure	судороги	symptom
seizure with fever	лихорадка с припадком	symptom
seizures	припадки	diagnosis
seizures	судороги	symptom
self breast exam	самостоятельная проверка груди	procedure
sertraline	сертралин	medication
severe headache	сильная головная боль	symptom
severe headaches	сильная головная боль	symptom
severe problems swallowing	серьезные проблемы при глотании	symptom
severe weakness	сильная слабость	symptom
sexually transmitted infection	инфекция, передаваемая половым путем	diagnosis
sexually transmitted infections	венерические заболевания	diagnosis
shaken baby syndrome	синдром встряхивания младенца	diagnosis
shaken baby syndrome	синдром детского сотрясения	diagnosis
shaky	дрожь	symptom
shaky	трясет	symptom
sharp pain	острая боль	symptom
sharps container	контейнер с острыми предметами	other_medical
shingles	опоясывающий герпес	diagnosis
short arc quads	упражнение «короткая дуга» на мышцы бедра	procedure
shortness of breath	затруднение дыхания	symptom
shortness of breath	затрудненное дыхание	symptom
shortness of breath	одышка	symptom
shoulder	плечо	anatomy
shoulder abduction	отведение плеча	procedure
shoulder blades	лопатки	anatomy
shoulder external rotation	движение плеча во внешнем направлении	procedure
shoulder flexion	сгибание плеча	procedure
shoulder internal rotation	движение плеча во внутреннем направлении	procedure
shoulder pain	боль в плечах	symptom
shoulder range of motion	подвижность плеча	procedure
shoulder sling	плечевой бандаж	procedure
shoulder strengthening	укрепление плеча	procedure
sickle cell anemia	серповидно-клеточная анемия	diagnosis
sickle-cell disease	серповидноклеточная анемия	diagnosis
side clam	разведение коленей лежа на боку	procedure
side effects	побочные эффекты	symptom
side effects	побочные явления	other_medical
side rails	боковые ограждения	other_medical
side-lying position	положение на боку	procedure
sids	сдсм	diagnosis
sids	синдром внезапной детской смерти	diagnosis
sigmoidoscopy	ректороманоскопия	procedure
silent strokes	тихие инсульты	diagnosis
sinus headache	синусовая головная боль	symptom
sinus node	синусный узел	anatomy
sinus passages	синусовые пазухи	anatomy
sinus pressure	заложенность носовых пазух	symptom
sinus problems	проблемы с носовыми пазухами	diagnosis
sitz bath	сидячая ванна	procedure
skin blister	волдыри	symptom
skin blisters	пузырьки на коже	symptom
skin breaks	появление на коже язв	symptom
skin burning	ощущение жжения на коже	symptom
skin burns	жжение кожи	symptom
skin cancer	рак кожи	diagnosis
skin dryness	сухость кожи	symptom
skin exam	осмотр кожи	test
skin infection	инфекция кожи	diagnosis
skin infections	кожные инфекции	diagnosis
skin irritation	раздражение кожи	symptom
skin itching	зуд на коже	symptom
skin lesion	поражение кожи	symptom
skin rash	сыпь	symptom
skin rashes	сыпь	symptom
skin rashes	сыпь на коже	symptom
skin redness	покраснение кожи	symptom
skin test	кожный тест	test
skin tests	кожные пробы	test
skin wound	кожная рана	symptom
skipped heart beats	пропуск сердечного удара	symptom
skipped heart beats	пропущенные удары сердца	symptom
skipped heartbeats	пропуск сердцебиения	symptom
skull fracture	перелом костей черепа	diagnosis
sleep apnea	синдром апноэ	diagnosis
sleep changes	изменения в состоянии сна	symptom
sleep diary	дневник сна	test
sleep disorders	расстройства сна	diagnosis
sleep disturbances	нарушения сна	symptom
sleep patterns	режим сна	other_medical
sleep problems	проблемы со сном	symptom
sleep study	исследование сна	test
sleepiness	сонливость	symptom
sleepwalking	лунатизм	diagnosis
slip resistant socks	нескользящие носки	other_medical
slow healing	медленно заживающие раны	symptom
slow healing of wounds	медленное заживление ран	symptom
small bowel	тонкий кишечник	anatomy
small cell lung cancer	мелкоклеточный рак легкого	diagnosis
small intestine	тонкий кишечник	anatomy
smallpox	оспа	diagnosis
sneezing	чихание	symptom
sneezing	чиханье	symptom
sodium	натрий	other_medical
soft bristle toothbrush	зубная щетка с мягкой щетиной	other_medical
soft spots	мягкие участки	anatomy
soft tissues	мягкие ткани	anatomy
sore gums	болезненность десен	symptom
sore mouth	стоматит	symptom
sore mouth	язвы во рту	symptom
sore nose	боль в носу	symptom
sore throat	ангина	diagnosis
sore throat	боль в горле	symptom
sore throat	фарингит	diagnosis
sore throat lozenges	пастилки от боли в горле	medication
soreness	болезненные ощущения	symptom
sores	язвы	symptom
sores in the mouth	язвы в полости рта	symptom
special needs	ограниченные возможности	other_medical
specimen	образец	test
speculum	влагалищное зеркало	procedure
speculum	зеркало	procedure
speech language pathologist	врач-логопед	other_medical
speech problems	проблемы с речью	symptom
spinal cord	спинной мозг	anatomy
spinal curves	спинные изгибы	anatomy
spinal puncture	спиномозговая пункция	procedure
spinal tap	поясничный прокол	procedure
spine	позвоночник	anatomy
spitting up	срыгивание	symptom
splint	шина	procedure
sponge bath	гигиенический душ со смоченной губкой	procedure
sponge bath	обтирание губкой	procedure
sponge bath	протирание влажной губкой	procedure
sprain	растяжение	diagnosis
sputum	мокрота	anatomy
sputum culture	анализ мокроты	test
sputum culture	бактериологическое исследование мокроты	test
sputum test	анализ мокроты	test
squamous cell carcinoma	плоскоклеточная карцинома	diagnosis
stages of labor	этапы родов	procedure
staph germ	стафилококк	other_medical
staples	скобы	procedure
staring spells	пристальный взгляд	symptom
startle reflex	рефлекс испуга	other_medical
stent	стент	procedure
stepping reflex	шаговый рефлекс	other_medical
stereotactic biopsy	стереотактическая биопсия	procedure
steri strips	полоски steri-strip	other_medical
steri-strips	стерильные полоски	procedure
sterile bandage	стерильная повязка	other_medical
steroid injections	инъекции стероидов	medication
steroids	стероиды	medication
stethoscope	стетоскоп	other_medical
sti	иппп	diagnosis
stiff neck	затвердение затылочных мышц	symptom
stiff neck	твердая шея	symptom
stiffness	скованность	symptom
stimulants	стимуляторы	medication
stirrups	подставки	other_medical
stitch	швы	procedure
stitches	швы	procedure
stomach	желудок	anatomy
stomach pain	боль в желудке	symptom
stomach problems	желудочные проблемы	symptom
stomach spasms	судороги в области живота	symptom
stomach surgery	операция на животе	procedure
stomachaches	боли в животе	symptom
stool	кал	other_medical
stool	стул	symptom
stool sample	анализ стула	test
stool softener	размягчитель стула	medication
stool softener	слабительное	medication
stool softener	смягчитель стула	medication
stool test	анализ кала	test
stooped posture	сутулость	symptom
straight leg raise	подъем прямой ноги	procedure
straining	напряжение при дефекации	symptom
strep throat	стрептококковая инфекция	diagnosis
stress	стресс	symptom
stress echo	стресс-эхокардиография	test
stress echocardiogram	стресс-эхокардиография	test
stress incontinence	стрессовое недержание	diagnosis
stress muga	радионуклидная ангиография с нагрузкой	test
stress test	нагрузочный тест	test
stroke	инсульт	diagnosis
stuffy nose	заложенность носа	symptom
subarachnoid hemorrhage	субарахноидальное кровоизлияние	diagnosis
subcutaneous injection	инъекция под кожу	procedure
subcutaneous injection	подкожная инъекция	procedure
subcutaneous injection	подкожный укол	procedure
subdural hematoma	субдуральная гематома	diagnosis
sucking reflex	сосательный рефлекс	other_medical
sucralose	сукралоза	medication
sudden infant death syndrome	синдром внезапной детской смерти	diagnosis
sudden urge to urinate	внезапный позыв к мочеиспусканию	symptom
suffocate	задохнуться	other_medical
suffocation	удушье	symptom
sugar free gum	жевательная резинка без сахара	other_medical
suicidal thoughts	мысли о самоубийстве	symptom
sulfa	сульфамидные препараты	medication
sunscreen	солнцезащитный крем	medication
support group	группа поддержки	procedure
surgery	операция	procedure
surgery	хирургическая операция	procedure
surgery	хирургическое вмешательство	procedure
swallowing check	проверка глотания	procedure
swallowing problem	проблемы с глотанием	symptom
swallowing problems	затрудненное глотание	symptom
swallowing problems	проблемы глотания	symptom
swallowing problems	проблемы с глотанием	symptom
sweating	повышенное потоотделение	symptom
sweating	потоотделение	symptom
sweating	усиленное потоотделение	symptom
sweats	потоотделение	symptom
swelling	опухание	symptom
swelling	опухоль	symptom
swelling	отек	symptom
swelling	отечность	symptom
swelling	припухлость	symptom
swelling in the body	опухание частей тела	symptom
swelling of neck or face	отек шеи или лица	symptom
swollen	припухлость	symptom
swollen breasts	припухание молочных желез	symptom
swollen eyes	припухлость век	symptom
swollen gums	припухлость десен	symptom
swollen lymph glands	увеличение лимфоузлов	symptom
syphilis	сифилис	diagnosis
syringe	шприц	other_medical
systolic reading	систолическое давление	test
tailbone	копчик	anatomy
targeted therapy	таргетная терапия	procedure
taste and smell changes	изменения вкусовых ощущений и обоняния	symptom
tb	тб	diagnosis
teaspoon	чайная ложка	other_medical
teeth	зубы	anatomy
teething	прорезывание зубов	symptom
teething ring	кольцо для прорезывания зубов	other_medical
temperature changes	изменение температуры	symptom
temporal lobe	височная доля	anatomy
temporal temperature	лобная температура	test
tender	побаливает	symptom
tender gums	кровоточивость десен	symptom
tender lymph glands	болезненные лимфоузлы	symptom
tenderness	болезненность	symptom
tenderness	болезненные ощущения	symptom
tension headache	головная боль напряжения	symptom
test results	результаты исследования	test
test strips	тест-полоски	test
testosterone creams	крем с тестостероном	medication
tetanus	столбняк	diagnosis
tetanus vaccine	прививка от столбняка	medication
therapy	психологическое лечение	procedure
thick mucus	плотная мокрота	symptom
thighs	бедра	anatomy
thinning bones	истончение костей	symptom
thirst	жажда	symptom
thoracic curve	грудной изгиб	anatomy
throat injury	травма горла	diagnosis
throat muscles	мышцы глотки	anatomy
throat swab	мазок задней стенки горла	test
throbbing headache	пульсирующая головная боль	symptom
throbbing pain	пульсирующая боль	symptom
throwing up	рвота	symptom
thumb	большой палец	anatomy
thyroid disease	заболевания щитовидной железы	diagnosis
thyroid gland	щитовидная железа	anatomy
thyroid level	функция щитовидной железы	anatomy
thyroid medicine	лекарства для щитовидной железы	medication
thyroid scan	тиреосцинтиграфия	test
thyroid ultrasound	узи щитовидной железы	test
tia	тиа	diagnosis
tibia	большая берцовая кость	anatomy
tingle	покалывать	symptom
tingling	покалывание	symptom
tingling	пощипывание	symptom
tiredness	ощущение усталости	symptom
tiredness	усталость	symptom
tiredness	чувство усталости	symptom
tissue	ткань	anatomy
tissue biopsy	кусочек ткани для анализа	procedure
tissue samples	образцы ткани	test
tobacco free life	жизнь без табака	other_medical
toe curls	хватание пальцами ног	procedure
toe raises	поднятие пальцев ног	procedure
toenails	ногти на ножках	anatomy
toes	пальцы ноги	anatomy
tongue	язык	anatomy
tongue base	корень языка	anatomy
tongue blade	депрессор языка	other_medical
tongue stretch	вытягивание языка	procedure
tongue swelling	отек языка	symptom
tooth decay	кариес	diagnosis
topical medicine	местное лекарство	medication
total cholesterol blood level	общий уровень холестерина в крови	test
total hip replacement	полная замена тазобедренного сустава	procedure
total knee replacement	полная замена коленного сустава	procedure
touch down weight bearing	касательная нагрузка	procedure
toxic chemicals	токсичные химические вещества	other_medical
tracer	контрастное вещество	medication
trachea	трахея	anatomy
tracheostomy	трахеостомия	procedure
transducer	датчик	other_medical
transesophageal echocardiography	чреспищеводная эхокардиография	test
transient ischemic attack	транзиторная ишемическая атака	diagnosis
transition	переходная фаза	procedure
transplantation	трансплантация	procedure
transverse abdominis	поперечная мышца живота	anatomy
traumatic brain injury	черепно-мозговая травма	diagnosis
treadmill	беговая дорожка	other_medical
treadmill	бегущая дорожка	procedure
tremor	тремор	symptom
trichomoniasis	трихомонадный вагинит	diagnosis
triglyceride blood level	уровень триглицеридов в крови	test
triglycerides	триглицериды	test
triglycerides test	анализ на триглицериды	test
trouble breathing	затруднение дыхания	symptom
trouble breathing	затрудненное дыхание	symptom
trouble breathing	проблемы с дыханием	symptom
trouble breathing	трудно дышать	symptom
trouble breathing	трудность дыхания	symptom
trouble falling asleep	трудности с засыпанием	symptom
trouble seeing	проблемы со зрением	symptom
trouble sleeping	проблемы со сном	symptom
trouble speaking	затруднение речи	symptom
trouble staying asleep	трудности с пребыванием в состоянии сна	symptom
trouble staying awake	проблемы с бодрствованием	symptom
trouble swallowing	затруднение глотания	symptom
trouble swallowing	проблемы с глотанием	symptom
trouble walking	проблемы при хождении	symptom
true labor	истинные схватки	symptom
tub bath	купание в ванне	procedure
tube	трубка	other_medical
tuberculosis	туберкулез	diagnosis
tummy time	время на животике	other_medical
tummy time	положение на животе	procedure
tumor	опухоль	anatomy
tumors	опухоли	anatomy
tunnel vision	туннельное зрение	symptom
twitching movements	спазмы мускулов	symptom
tympanic temperature	ушная температура	test
type 1 diabetes	диабет 1 типа	diagnosis
type 1 diabetes	диабет 1-го типа	diagnosis
type 2 diabetes	диабет 2-го типа	diagnosis
type 2 diabetes	диабет типа 2	diagnosis
ulcerative colitis	язвенный колит	diagnosis
ulcers	язвочки	symptom
ulcers	язвы	symptom
ultrasound	узи	test
ultrasound	ультразвук	test
ultrasound	ультразвуковое исследование	test
ultrasound	ультразвуковое обследование	test
umbilical cord	пуповина	anatomy
umbilical cord	пупочный остаток	anatomy
unconsciousness	бессознательное состояние	symptom
unconsciousness	потеря сознания	symptom
uncontrolled changes in brain activity	неконтролируемые изменения активности мозга	symptom
upper arm	предплечье	anatomy
upper endoscopy	эндоскопия верхних отделов	test
upper endoscopy	эндоскопия верхних отделов жкт	procedure
upper right abdominal pain	боль в верхней правой части живота	symptom
ureter	мочеиспускательный канал	anatomy
urethra	уретра	anatomy
urge incontinence	ургентное недержание	diagnosis
urge to urinate	частые позывы к мочеиспусканию	symptom
urinary frequency	частое мочеиспускание	symptom
urinary incontinence	недержание мочи	diagnosis
urinary tract infection	инфекция мочевыводящих путей	diagnosis
urinary tract infection	инфекция мочеиспускательного канала	diagnosis
urinary urgency	внезапные позывы к мочеиспусканию	symptom
urinate often	частое мочеиспускание	symptom
urinating	мочеиспускание	other_medical
urinating problems	проблемы с мочеиспусканием	symptom
urination	мочеиспускание	other_medical
urine	моча	anatomy
urine leakage	вытекание мочи	symptom
urine sample	анализ мочи	test
urine sample	образец мочи	test
urine test	анализ мочи	test
urine test for protein	анализ мочи на белок	test
urine tests	анализы мочи	test
uterine contractions	сокращения матки	symptom
uterine cramping	судороги матки	symptom
uterus	матка	anatomy
uti	имп	diagnosis
vaccinations	прививки	procedure
vaccine	вакцина	medication
vaccine injection	укол прививки	procedure
vaccines	вакцины	medication
vaccines	прививки	procedure
vagina	влагалище	anatomy
vaginal atrophy	атрофия влагалища	diagnosis
vaginal birth	вагинальные роды	procedure
vaginal bleeding	вагинальное кровотечение	symptom
vaginal bleeding	кровянистые выделения из влагалища	symptom
vaginal burning	жжение около влагалища	symptom
vaginal delivery	влагалищное родоразрешение	procedure
vaginal discharge	влагалищные выделения	symptom
vaginal discharge	выделения	symptom
vaginal discharge	выделения из влагалища	symptom
vaginal dryness	вагинальная сухость	symptom
vaginal dryness	сухость влагалища	symptom
vaginal estrogen therapy	локальная терапия эстрогенами	procedure
vaginal infection	вагинальная инфекция	diagnosis
vaginal infections	вагинальные инфекции	diagnosis
vaginal itching	зуд влагалища	symptom
vaginal itching	зуд во влагалище	symptom
vaginal itching	зуд около влагалища	symptom
vaginal sores	язвы около влагалища	symptom
vaginal warts	бородавки около влагалища	symptom
vaginitis	вагинит	diagnosis
vaporizer	испаритель	other_medical
varicella	ветряная оспа	diagnosis
varicella antibodies	антитела к ветряной оспе	test
vascular dementia	васкулярная деменция	diagnosis
venlafaxine	венлафаксин	medication
vertebrae	позвонки	anatomy
viral infection	вирусная инфекция	diagnosis
virus	вирусы	other_medical
viruses	вирусы	other_medical
vision changes	изменения зрения	symptom
vision loss	потеря зрения	symptom
vision problems	проблемы со зрением	symptom
vision test	зрительный тест	test
vitamin a	витамин a	medication
vitamin a	витамин а	medication
vitamin b complex	витамины группы в	medication
vitamin b6	витамин b6	medication
vitamin c	витамин с	medication
vitamin d	витамин d	medication
vitamin d deficiency	дефицит витамина d	diagnosis
vitamin d supplement	препарат витамина d	medication
vitamin e	витамин е	medication
vitamins	витамины	medication
vomit	рвота	symptom
vomiting	рвота	symptom
vomiting blood	рвота с кровью	symptom
vp shunt	вентрикуло-перитонеальный шунт	other_medical
walker	ходунки	other_medical
wall slide	приседания с упором на стену	procedure
wall slide	скольжение по стене	procedure
warfarin	варфарин	medication
warm compress	теплый компресс	procedure
warm flush	ощущение жара	symptom
warm up	разминка	procedure
warmth	жжение	symptom
warmth	повышение температуры	symptom
warmth around joint	ощущение тепла около сустава	symptom
water breaks	отход вод	symptom
water-based lubricants	гели-смазки на водной основе	medication
watery eyes	слезотечение	symptom
watery eyes	слезящиеся глаза	symptom
weak	слабость	symptom
weak cough	слабый кашель	symptom
weak immune system	слабый иммунитет	symptom
weak leg	ослабленная ног	anatomy
weak leg	ослабленная нога	symptom
weak pulse	слабый пульс	symptom
weakened immune system	ослабленная иммунная система	symptom
weakness	слабость	symptom
weakness in leg	слабость в ногах	symptom
weight bearing	нагрузка на ногу	procedure
weight gain	набор веса	symptom
weight gain	увеличение веса	symptom
weight loss	потеря веса	symptom
weight loss	похудение	other_medical
weight loss	снижение веса	other_medical
weight loss or gain	похудение или увеличение веса	symptom
wet diapers	мокрые подгузники	test
wet diapers	мочеиспускание	symptom
wet diapers	мочеиспускания	other_medical
wheat bran	пшеничные отруби	other_medical
wheezing	свистящее дыхание	symptom
wheezing	хрипы	symptom
whistling	свист	symptom
white blood cell count	уровень лейкоцитов	test
white blood cells	белые кровяные клетки	anatomy
white patches in the throat	белые бляшки в горле	symptom
whole grain breads	хлеб из необработанного зерна	other_medical
wireless capsule monitor	капсульная эндоскопия	procedure
withdrawal symptoms	симптомы абстиненции	symptom
worn cartilage	износившийся хрящ	symptom
wound	рана	symptom
wound drainage	выделения из области раны	symptom
wound healing	заживление раны	procedure
wrist	запястье	anatomy
wrist flexion and extension	сгибание и разгибание запястья	procedure
wrist rotation	вращение запястья	procedure
x-ray	рентген	test
x-ray	рентгеновский снимок	test
x-ray pictures	рентгеновские снимки	test
x-ray table	рентгеновский стол	other_medical
x-ray test	рентгеновское исследование	test
x-rays	рентген	test
x-rays	рентгеновские снимки	test
yeast infection	дрожжевая инфекция	diagnosis
yeast infection	молочница	diagnosis
yellow eyes	желтые глаза	symptom
yellow fever	жёлтая лихорадка	diagnosis
yellow mucus	желтая мокрота	symptom
yellow or green mucus	желтая или зеленая мокрота	symptom
yellow skin	желтая кожа	symptom
yellowing of skin and eyes	окрашенность кожи и белков глаз в желтый цвет	symptom
zinc	цинк	medication
